Timestamp,CSI_3,CSI_4,CSI_5,CSI_6,CSI_7,CSI_8,CSI_9,CSI_10,CSI_11,CSI_12,CSI_13,CSI_14,CSI_15,CSI_16,CSI_17,CSI_18,CSI_19,CSI_20,CSI_21,CSI_22,CSI_23,CSI_24,CSI_25,CSI_26,CSI_27,CSI_28,CSI_29,CSI_30,CSI_31,CSI_32,CSI_33,CSI_34,CSI_35,CSI_36,CSI_37,CSI_38,CSI_39,CSI_40,CSI_41,CSI_42,CSI_43,CSI_44,CSI_45,CSI_46,CSI_47,CSI_48,CSI_49,CSI_50,CSI_51,CSI_52,CSI_53,CSI_54,CSI_55,CSI_56,CSI_57,CSI_58,CSI_59,CSI_60,CSI_61,CSI_62,CSI_63,CSI_64
1751782362,0,0,0,5.39,23.77,24.17,25.06,23.32,21.95,21.1,20.59,21.47,23.26,24.6,25.5,25.08,25.08,24.6,24.17,25.08,24.17,24.17,24.6,25.06,23.71,22.85,22.85,22.85,22.85,25.08,11.7,24.04,24.04,22.47,21.02,20.62,21.19,21.84,21.19,18.38,15.23,16.55,17.09,16.76,15.81,14.87,14.87,15.81,16.28,13.6,10.77,10.44,9.22,8.54,8.54,7.28,5.39,1,0,0,0,0
1751782363,0,0,0,4.24,19.85,18.38,15,12.04,8.6,8.25,10.05,11.18,12.04,13,16.49,19.92,23.09,23.77,24.52,24.52,21.84,21.84,22.56,20.88,20.12,21.47,20.62,19.7,21.1,21.95,12.81,27.66,24.08,22.02,24.17,27.86,26.93,26.93,24.52,20.4,16.49,11.4,10.2,13.34,13.6,13.15,13,12.04,8.06,5,2.83,2.24,2.24,2.83,4.12,2.83,5.1,2,0,0,0,0
1751782369,0,0,0,8.06,31.58,27.66,25,20.88,15.52,11.4,10.2,7.07,4.24,4,7.28,11.18,12.17,13.34,15.52,18.79,20.25,22.47,23.32,23.85,22.47,22.8,22.67,24.76,29.07,32.8,15.62,28.32,29.83,30.61,30,28.6,27.2,25,21.4,16.64,14.76,13.42,8.54,3.61,5.83,6.71,5.66,6.71,7.62,7.81,8.06,6.4,4.47,3.16,7,6,4.47,1.41,0,0,0,0
1751782374,0,0,0,8.25,33.38,30.02,26.02,21,17.12,13.93,12.81,12.81,13.04,10.44,13.04,14.04,12.37,13.45,12.04,9.43,8.6,10.63,14.32,14.56,16,19.42,21.19,21.47,23.85,25.61,14.21,30.81,36.24,39.82,38.95,38.01,36.77,33.84,32.57,31.62,28.46,25,21.38,19.03,14.04,8.94,7.21,7.62,7.21,4,3.61,5.83,7.21,10.3,14.87,14.87,11.7,3.16,0,0,0,0
1751782376,0,0,0,3.61,11.18,8.49,10.2,13.15,17.89,21.63,22.47,23.32,23.85,22.83,23.6,23.35,19.42,16.76,14.14,11.4,11.31,14.32,20.1,25.18,32.25,37.11,37.64,38.6,40.5,41.63,20.62,40.16,38.33,34.93,31.78,28.16,22.2,15.65,14.21,16.64,15.23,15.52,18.11,22.02,23.09,20.4,17.26,15.52,12.08,8.94,10.3,8.6,2.24,2.24,3.16,4.47,8.06,2,0,0,0,0
1751782416,0,0,0,7.21,26.4,26.17,26.17,25.46,25.46,24.76,23.35,21.93,21.93,23.35,21.93,22.02,22.2,23.6,23.43,22.67,24.08,27.02,27.2,26.63,25.61,24.41,22.83,21.93,21.47,24.41,13.04,26,24.7,22.85,23.41,24.35,24.35,24.7,24.35,22.8,21.59,22.56,22.56,20.62,19.65,21.19,21.19,18.97,17.09,16.55,14.87,11.7,8.54,10.05,12.37,12.08,10.77,3.16,0,0,0,0
1751782421,0,0,0,1.41,3.61,5,6.4,9.49,12.04,13,13.15,13.15,14.04,13.04,11.18,10.2,8.25,6.32,5,6.71,8.25,9,11.4,14.56,15.3,17.46,19.42,20.4,22.2,23.19,12.04,22.2,20.4,19.42,16.49,13.6,10.05,8.06,5,5.1,7.62,10.44,12.37,14.32,14.32,14.04,14,13.15,11.05,9.06,7.07,5,3.16,2,3.16,5,3.16,1,0,0,0,0
1751782428,0,0,0,5.1,18.68,18.68,18.68,19.65,20.88,20.88,19.92,17.72,17.72,18.03,18.68,17.46,15.81,14.87,13.93,13.93,14.87,13.42,12.21,12.81,14.21,14.87,15.62,15.81,13.6,12.21,7.21,13.89,15.26,14.76,15.81,16.76,18.03,18.97,17.26,15.13,16.76,19.7,20.12,21.19,21.84,21.54,22.36,23.71,21.47,20.12,21.95,21.63,19.21,19.42,20.81,20.62,19.1,5,0,0,0,0
1751782428,0,0,0,7.81,29.41,30,28.43,27.59,28.32,29,27.59,28.43,27.66,24.84,24.84,26.91,26.4,24.41,22.47,23.32,24.19,23.85,24.21,24.21,23.02,21.63,20.25,19.72,19.72,18.36,9.85,19.92,19.31,21.19,22.56,21.84,19.92,19.42,19.65,18.68,18.11,17.12,18.25,21.38,22.56,19.65,17.46,17.26,16.49,16.55,14.42,11.66,12.53,11.7,9.22,7.62,6.4,1.41,0,0,0,0
1751782430,0,0,0,7.21,26.93,26.93,24.7,22.47,21.1,20.25,17.49,13.42,9.43,6.4,3.61,2.83,4.12,6.08,10.44,13.34,15.3,17.46,19.42,19.24,19.03,20,20.22,22.36,24.52,24.04,13,28.64,27.31,26.93,25.08,21.93,21.02,19.24,15.65,12.53,9.85,6.32,3,3,5.66,9.43,11.66,14.76,17.46,19.7,20.59,21.95,21.54,21.19,19.7,20.25,21.21,6,0,0,0,0
1751782441,0,0,0,5.1,23.09,21.19,20.62,20.12,19.24,18.03,16.64,16.12,15.23,15.52,17.26,16.49,16.55,16.12,14.32,13.93,14.56,13.15,12.37,15.52,15.81,12.37,11.18,11.18,9.06,8.06,3.61,8.6,9.22,9.9,12.04,12.04,11.66,13.6,14.14,15.62,15.62,19.1,22.02,22.02,20.52,21.21,19.85,20,21.63,22.2,23.35,24.04,25.61,25,22.67,21.93,23.35,5.66,0,0,0,0
1751782445,0,0,0,7.21,31.3,31.3,30.87,28.79,25.63,21.93,18.79,16.16,14.32,13.15,10.05,7.21,7.21,6.71,8.06,9.85,11.7,16.76,20.4,21.38,20.4,19.24,21.1,23,23.09,23.35,11.18,23.35,23.77,26.4,23.77,18.03,18.97,19.92,18.03,13,8.94,5.1,3.61,5.1,7.81,10.3,11.4,14.14,16.97,19.1,22.02,22.2,20.81,20,21.63,21.95,21.1,5.83,0,0,0,0
1751782447,0,0,0,6.4,27.2,28.02,26.63,25.55,24.7,22.47,17.49,13.04,10.82,8.6,6.4,4.12,2.24,5.83,8.54,10.05,11.18,13.34,15.3,15.03,16.12,17.72,18.79,20.59,22.36,21.93,10.3,20.25,20.81,23.43,21.93,20.52,19.85,17.69,14.87,11.4,7.81,5.83,4.47,2.83,6.08,7,9.49,13.42,16.12,17.49,18.6,17.8,19.42,20,19.8,18.44,15.62,4.24,0,0,0,0
1751782448,0,0,0,8.94,34,31.38,31.76,30.46,26,23.26,21.54,14.87,9.49,7.07,5.83,6.32,8,11,15.13,16.03,16.12,16.12,19.03,21.1,23.09,24.19,24.52,24.35,25.94,25.06,13.6,28.6,28.6,26.91,26.17,26.17,25.5,22.02,19.1,17.8,15.26,10.82,6.08,5,5,7.07,12.04,16,19.42,21.59,21.38,20.4,20.62,21.54,22.36,23.77,23.77,5.1,0,0,0,0
1751782484,0,0,0,0,3.61,4.12,7.62,10.82,13.45,12.81,12.81,13.6,13.89,14.32,12.08,9.85,6.32,4.12,3.61,4.24,6.08,7.28,9.85,13,15.23,16.55,18.79,20.62,23.41,24.35,11.18,20,18.03,15.03,11,7.07,6.4,6,6.4,9.43,12.53,13.93,16.16,17.89,18.03,17.8,14.87,13.45,11.31,9.22,7.62,8,5.39,4.47,6.71,8.06,6.4,1.41,0,0,0,0
1751782486,0,0,0,2.24,5.83,7.21,11.4,13.04,16.16,17.72,18.44,20.02,21.02,18.25,14.56,11.7,11.7,9.06,7.07,6.4,9.22,14.04,18.25,21.19,23.77,27.51,31.32,34.21,35.74,39.56,17.72,29.83,27.2,23.26,18.03,10.63,4.24,2,8.25,12.53,18.36,24.35,26.93,28.86,28.64,27.29,26.02,25.02,23.09,19.65,13.42,8.49,8.94,12,12.65,7.62,4.47,1,0,0,0,0
1751782490,0,0,0,6.08,24.52,22.56,21.21,20.1,18.11,17.12,15,11,7.07,6.08,3.61,2.24,4.12,5.1,7.07,11,13,15.13,16.49,18.68,17.72,17.46,18.03,20,22.09,23.19,13,25,22,22,22,19.03,15.03,14.14,14.32,12.37,8.94,6.4,4.47,7.07,8,8.06,8,11.4,14.87,15.23,13.93,13.34,14.87,14.87,13.6,12.17,13.15,4,0,0,0,0
1751782502,0,0,0,8.25,31.02,29.15,27.73,25.94,25.94,26.57,24.74,23.54,23.77,22.8,22.8,21.59,20.62,18.97,16.76,16.28,15.03,12.17,12.65,13.34,13.34,12.17,10.05,11.05,11.05,11.18,6.08,11.05,12.37,13,13.6,15.3,15.3,13.6,13.34,15.13,16,14.14,14.87,18.03,18.44,16.28,16.16,17.49,18.03,15.65,13.89,14.14,16.4,16.4,14.76,16.12,19.85,5.66,0,0,0,0
1751782505,0,0,0,2.24,5.66,5.83,14.56,21.19,24.7,25.3,26.25,25,23.09,21.19,19.31,16.76,14.56,9.49,5,2.24,5,11.7,16.49,20.88,27.2,32.28,34.93,36.35,36.88,38.33,19.42,36.88,30.36,26,21.93,16.55,12.04,11.7,14.14,21.1,27.02,29,29,29,27.8,27.29,24.6,19.92,16.28,11.05,8.94,10.82,12.04,11.18,12.04,10.63,7.81,2.24,0,0,0,0
1751782507,0,0,0,7.62,30.87,28.79,25.63,26,25.63,25.3,24.04,19.42,19.42,21.84,21.59,20.88,18.97,15.81,13.42,13.93,13.15,10.05,8.06,8.25,7.28,7.62,10.77,13.93,11.18,8.6,4.47,10.82,13.45,12.73,10.63,9.22,10.82,11.7,11.7,12.08,11.7,11.18,11.05,9,7.07,7.62,8.06,6.4,8.54,11.18,9.85,7.28,8.06,11.18,12.53,12.04,12.21,2.83,0,0,0,0
1751782517,0,0,0,1.41,5.83,9.06,13.89,20.52,24.76,25.5,26.25,24.41,24.19,22.83,21.19,20.88,17.46,13.42,10.44,5.1,2.83,8.94,15.81,22.14,26.93,29.83,33.96,38.33,37.36,34.48,17.72,38.08,34.48,27.51,20.62,15.65,9.43,5.39,13.45,20.62,26.25,30.61,32.2,32.02,33.24,33.3,30.61,24.6,18.68,12.37,10.77,8,8.49,7.62,6.08,8.6,10.63,2.24,0,0,0,0
1751782520,0,0,0,5,18.25,18.44,18.68,18.44,16.28,14.14,14.04,14.14,13.15,12.17,12.37,11.4,9.49,9.49,9.85,10.3,8.94,6.71,5.39,5.1,5.39,5.39,4,3.16,3.61,3.61,1.41,2.83,1.41,0,1.41,2,3.16,4,5.1,4,4.47,5,5.39,5,5,5,6,6,5.1,7.07,8,7,4.12,5.83,7.62,8.25,6,2,0,0,0,0
1751782528,0,0,0,2,6.32,9.43,14.87,17.72,19.92,22.85,24.6,24.7,23.54,21.21,18.25,13.34,9.06,8,10.2,6.32,3.16,9.9,14.14,13.6,16.64,22.02,28.28,33.24,36.88,37.2,18.6,35.23,32.8,26.25,20.52,17.03,11.4,8.6,10.82,14.32,18.68,24.19,27.46,26.25,25.08,24.7,24.21,22.67,16.28,11.7,10,6.32,6.4,8.6,8.06,6.32,4.12,1,0,0,0,0
1751782546,0,0,0,5.83,23.26,22.47,23.41,22.85,22.47,21.95,20.12,17,15.65,17,19.21,19.1,17.03,15,15.62,13.45,11.4,14,12.37,8.25,7.28,7.07,7,8.06,9.49,11.4,7.07,12.81,12.21,15.81,17.49,17.49,18.6,18.03,16.4,17.8,18.6,19.85,20.52,19.8,17.69,18.6,18.87,19.42,19.8,19.85,19.21,19.21,19.8,21.21,21.26,22.2,22.2,6.4,0,0,0,0
1751782558,0,0,0,4.12,20.1,20.22,21.1,23.02,24.02,23.02,20.1,21,22,22,21.21,22.36,22.56,22.14,21.02,21.02,19.7,21.02,22.83,23.32,21.63,21.63,21.1,23.71,25.55,24.7,11.4,25,24.41,23.6,25.81,26.42,23.32,22.47,21.95,22.83,24.6,23.77,24.7,23.77,23.41,22.14,20.88,18.25,16.12,15.03,15,15.13,14.14,13,10.05,8.25,7.28,2.24,0,0,0,0
1751782565,0,0,0,8.49,29.73,29.07,29.21,28.84,24.19,18.36,14.76,10.44,8.06,4.12,1.41,2.24,6.08,8,11.05,14.32,15.03,17.12,18,17.03,16.12,17.46,21.19,21.93,21.93,23.41,11.18,23.32,26.42,25.55,23.32,23.32,25.55,24.19,21.63,19.21,17.03,15.56,12.53,13.15,14,12.04,11.18,14.56,16.12,17.8,19.85,21.93,22.02,21.4,20.62,20.25,17.46,0,,,,
1751782565,0,0,0,8.94,34.01,30.87,28.64,29.55,29.97,27.78,27.46,26.08,25.06,24.7,22.8,20.62,18.97,16.76,16.49,16.76,16.28,16,15.13,14.32,13.34,14.56,15.81,16.55,16.12,14.32,7.62,17.8,18.03,19.24,17.46,15.23,17.89,20.12,19.7,18.38,19.92,19.92,18.03,16.76,15.3,14.14,16.28,15.52,12.17,11.18,10.2,11.05,13.04,12,9,8.25,10.77,2.24,0,0,0,0
1751782569,0,0,0,7.21,28.02,24.41,22.67,23.02,23.6,20.81,16.12,13.04,10.3,7.07,5.1,4,2,7.28,10.05,12,13.04,12.04,12.04,13.04,14.04,13.6,15.65,18.36,17.8,17.03,11.31,27.66,28.32,26.87,26.17,28.43,27.02,26.17,27.02,26.63,21.63,20.25,20.25,15,7.81,4.47,6.08,11.18,13.04,14.76,16.64,19.1,18.03,17.49,18.6,20.81,21.95,5.39,0,0,0,0
1751782578,0,0,0,4.47,17.89,18.79,17.89,17.89,19.24,18.79,16.55,13.89,11.66,11.18,10.3,10.3,10,8.6,9.85,11.18,8.94,7.62,7.07,6.08,5.1,5,6.08,6.08,4.12,3.61,2.24,6.32,8.06,8.94,7.62,8.06,7.81,7.21,8.54,7.62,6.08,7.28,8.94,8.54,8,9,9,8.25,8.94,7.62,7.62,7.21,5,5.66,7.81,7.81,7.28,2.24,0,0,0,0
1751782580,0,0,0,5,23.35,21.38,20.62,23.09,22.8,21.38,18.25,18.44,18.11,19,23,24,22.02,21,21.02,23.09,26.02,27,26.02,24.33,23.09,24.08,24.33,22.2,23.02,25,11.05,20.22,21.21,21.21,19.24,20.02,21.02,20.1,19.24,20.22,19.42,18.25,20.1,18.25,13.34,11.7,15.65,16.55,14.76,9.43,7.07,10.63,12.81,6.4,2,2,1,0,0,0,0,0
1751782584,0,0,0,4,17.26,17.46,17.46,17.46,18.68,19.42,18.44,18.68,19.65,20.4,20.4,21.38,21.38,21.84,22.14,22.8,22.8,22.8,24.04,23.41,22.47,21.19,22.14,21.59,19.42,18.68,9.22,19.03,20.02,19.24,19.42,21.59,22.56,22.56,22.56,24.52,26.68,26.68,25.71,26.48,27.46,26.68,26.68,25.71,24.52,25.71,26.48,26.31,25.32,25.18,26.17,27.17,27.07,6.08,0,0,0,0
1751782589,0,0,0,2.83,11.4,5.83,3.61,5.1,12.04,18.03,23.35,25.96,25,23.41,20.62,16.16,15.81,17.03,12.53,5.39,3,6.71,14.14,20.1,25.18,30.27,35.51,40.02,41.76,42.38,20.25,36.06,32.57,29.41,23.41,15.81,8.25,3.16,9.22,14.87,22.8,26.63,27.78,29.97,31.02,28.79,25.63,21.84,17.12,12.17,8.54,5.66,10,13.04,12,12,15.03,4.12,0,0,0,0
1751782596,0,0,0,2.24,11.4,12.53,16.03,18.11,19.24,20.88,21.54,23.09,24.04,25,24.04,18.97,15.81,12.65,9.22,4.12,5,9.49,14.04,17.12,21.21,24.52,27.2,28.79,30.36,30.81,15.3,28.28,24.08,22.02,20.88,20.59,22.67,23.6,24.7,27.78,28.65,27.46,28.02,27.46,25.24,22.8,21.26,16.55,14,12.65,10.82,11.18,14.14,16.03,19.65,20.62,18.36,5,0,0,0,0
